method,backbone,task,accuracy_mean,accuracy_std,wall_clock_s_mean,wall_clock_s_std,peak_mem_gb_mean,peak_mem_gb_std,trainable_pct_mean,energy_kwh_mean,energy_kwh_std,carbon_kgco2eq_mean,carbon_kgco2eq_std,cost_usd_mean,n_seeds,perf_per_kwh,perf_per_carbon,score_balanced,score_accuracy_first,score_carbon_constrained,score_balanced_mean,gei,gei_ref_method,gei_balanced,front_label
qlora,large,classification,0.9483666666666668,0.0011503622617825,333.23,1.6306133815224428,7.451666666666667,0.0047258156262526,0.004324,0.0060136066666666,1.4825472448907932e-05,0.0039088433333333,9.631761694172724e-06,0.0331,3,157.70344845132618,242.62073027040475,0.397202506896644,0.5972025068966441,0.2648016712644294,0.397202506896644,0.9790176295233225,qlora,0.9790176295233225,classification|large
lora,medium,classification,0.9478,0.0024041630560341,125.405,0.0353553390593354,12.278,1.467953677743273,0.002817,0.0021802699999999,2.834083978995672e-05,0.001417175,1.842013164990957e-05,0.0125,2,434.7166017435448,668.7948427012594,0.7747518285335101,0.8129119700953964,0.7826600486901849,0.7747518285335101,1.0392988879064997,qlora,1.0392988879064997,classification|medium
lora_fa,medium,classification,0.9430333333333332,0.0035133080327994,122.03333333333336,0.4001666319589032,12.504,1.394543294415774,0.001039,0.00215922,5.518416167706072e-05,0.0014034933333333,3.5870999893135595e-05,0.0121333333333333,3,436.747018176154,671.9181623580953,0.752467941820959,0.7742565551444343,0.7696895086130482,0.752467941820959,1.0401815209588645,qlora,1.0401815209588645,classification|medium
qlora,medium,classification,0.9434333333333336,0.0028676354952004,193.6233333333333,1.98500209907531,6.7763333333333335,1.807159188708436,0.004884,0.0034359433333333,4.314894011830816e-05,0.0022333633333333,2.804716266101317e-05,0.0192,3,274.5775955043121,422.4269722823252,0.6760581573613715,0.7524355010590785,0.629652515850628,0.6760581573613715,0.9769773306522713,qlora,0.9769773306522713,classification|medium
lora,small,classification,0.9438,0.004966890375275,101.08,2.171451127702394,9.735666666666669,1.1328214039879954,0.00434,0.0017739466666666,2.86500302501294e-05,0.0011530666666666,1.8624847202952588e-05,0.0100333333333333,3,532.0337334265593,818.5122411144996,0.8336781212777948,0.8418778766516686,0.8505926172893604,0.8336781212777948,0.9818631923594251,qlora,0.9818631923594251,classification|small
lora_fa,small,classification,0.9251,0.0006928203230274,98.18,0.3915354390090363,8.679,0.6360786114938939,0.0015649999999999,0.00172969,6.69782800615234e-06,0.0011242966666666,4.3554716545207685e-06,0.0097666666666666,3,534.8354127991647,822.8247975847441,0.7605913476800752,0.7061637256643307,0.8050362672037481,0.7605913476800752,1.0073794013076465,qlora,1.0073794013076465,classification|small
qlora,small,classification,0.9381,0.0039837168574084,153.40666666666667,0.904562509356488,4.280666666666667,1.342686237858024,0.008132,0.0027171433333333,1.6297166420373237e-05,0.0017661466666666,1.0593971556188657e-05,0.0152333333333333,3,345.2521783593142,531.1560396139016,0.7630661645905594,0.7921071413807299,0.7378028310130347,0.7630661645905594,0.9747643881758494,qlora,0.9747643881758494,classification|small
lisa,tiny,classification,0.8868333333333333,0.021961177867622,70.12666666666667,1.3496789741762012,5.422999999999999,0.243575450322893,0.724441,0.00125948,1.8469875473321336e-05,0.0008186666666666,1.2005354361006324e-05,0.0069666666666666,3,704.1260116931762,1083.2641491073095,0.6685134751742431,0.4700831296379022,0.7767852700992204,0.6685134751742431,1.4290804695241421,full_ft,1.4290804695241421,classification|tiny
lora,tiny,classification,0.9174333333333332,0.0011503622617824,106.54666666666668,1.7739879744049352,4.654,0.3879806696215669,0.004362,0.0012218766666666,6.721273416052453e-05,0.00079422,4.368717088574173e-05,0.0105,3,750.8389410505634,1155.136080931294,0.8093447975298802,0.7088030857205623,0.865975296683863,0.8093447975298802,1.4134316344326487,full_ft,1.4134316344326487,classification|tiny
lora_fa,tiny,classification,0.9155,0.0017349351572896,101.86666666666667,0.993294182673658,4.607333333333333,0.4532376124433338,0.001589,0.0012995566666666,3.7853181284183615e-06,0.0008447099999999,2.4605487192899887e-06,0.0101,3,704.4704698239633,1083.802625986876,0.7966652316206202,0.6930818520152817,0.853818551689465,0.7966652316206202,1.402871501136019,full_ft,1.402871501136019,classification|tiny
qlora,tiny,classification,0.9117,0.0079674337148168,164.01,1.5469970911414257,3.071,0.5013751090750319,0.0068219999999999,0.0021472033333333,1.3574374141496495e-05,0.0013956833333333,8.825448052837581e-06,0.0162,3,424.5986214943369,653.227938600252,0.6904667869018194,0.6099120481470932,0.721088681620396,0.6904667869018194,1.2473377778045909,full_ft,1.2473377778045909,classification|tiny
